query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
q83d25e9a9,Electronics,USB hub,generic,USB hub 2024,hub USB 2024,USB-Hub 2024
q884904df0,Electronics,VR headset,generic,compare VR headset,confronta visore VR,VR-Headset vergleich
q8ec16c59e,Electronics,action camera,generic,action camera for beginners,action camera per principianti,Action-Kamera für anfänger
q10484bd8d,Electronics,business laptop,generic,compare business laptop,confronta laptop business,Business-Laptop vergleich
q35cefb6d0,Electronics,camera bag,generic,camera bag professional,borsa per fotocamera professionale,professioneller Kameratasche
q75d5668c4,Electronics,camera lens,generic,camera lens offers,offerte obiettivo fotografico,Kameraobjektiv angebote
q14152631a,Electronics,digital camera,generic,where to buy digital camera,dove comprare fotocamera digitale,wo Digitalkamera kaufen
q4e5751c50,Electronics,drone with camera,generic,drone with camera under 500,drone con fotocamera sotto 500 euro,Drohne mit Kamera unter 500 euro
qce6f41e9a,Electronics,flagship smartphone,generic,flagship smartphone 2024,smartphone top di gamma 2024,Flagship-Smartphone 2024
q75f080633,Electronics,gaming chair,generic,top gaming chair,top sedia gaming,top Gaming-Stuhl
qf9b22329a,Electronics,gaming console,generic,gaming console professional,console di gioco professionale,professioneller Spielkonsole
q5670c6a6f,Electronics,gaming controller,generic,gaming controller sale,controller gaming saldi,Gaming-Controller sale
qbf66dd44b,Electronics,gaming desk,generic,compare gaming desk,confronta scrivania gaming,Gaming-Schreibtisch vergleich
qb9a8e407f,Electronics,gaming headset,generic,gaming headset online,headset gaming online,Gaming-Headset online
qb5e2f66e7,Electronics,gaming monitor,generic,compare gaming monitor,confronta monitor gaming,Gaming-Monitor vergleich
qc62622f2e,Electronics,gaming mouse,generic,gaming mouse rating,valutazione mouse gaming,Gaming-Maus bewertung
qbe611f7f7,Electronics,home cinema system,generic,home cinema system rating,valutazione sistema home cinema,Heimkinosystem bewertung
q221152d6e,Electronics,iPad,generic,cheap iPad,iPad economici,günstiger iPad
q5fa8b14de,Electronics,in-ear headphones,generic,in-ear headphones online,auricolari in-ear online,In-Ear-Kopfhörer online
qd88d11eef,Electronics,instant camera,generic,instant camera for beginners,fotocamera istantanea per principianti,Sofortbildkamera für anfänger
qd64f7c72d,Electronics,laptop,generic,laptop rating,valutazione laptop,Laptop bewertung
q5d68acfd5,Electronics,laptop stand,generic,laptop stand rating,valutazione supporto laptop,Laptop-Ständer bewertung
qbdc2a7f4a,Electronics,mechanical keyboard,generic,mechanical keyboard under 100,tastiera meccanica sotto 100 euro,Mechanische Tastatur unter 100 euro
q1d7bd0c37,Electronics,memory card,generic,memory card 2024,scheda di memoria 2024,Speicherkarte 2024
q733ca550b,Electronics,mirrorless camera,generic,mirrorless camera 2024,fotocamera mirrorless 2024,Systemkamera 2024
qe82bdb597,Electronics,monitor,generic,monitor professional,monitor professionale,professioneller Monitor
qebc9255db,Electronics,noise cancelling headphones,generic,noise cancelling headphones professional,cuffie noise cancelling professionale,professioneller Noise-Cancelling-Kopfhörer
qc5a9ddd23,Electronics,phone case,generic,phone case for beginners,custodia per telefono per principianti,Handyhülle für anfänger
q1c38308a6,Electronics,portable speaker,generic,cheap portable speaker,altoparlante portatile economici,günstiger Portabler Lautsprecher
q62b477a57,Electronics,power bank,generic,power bank,power bank,Powerbank
q534b75cc9,Electronics,projector,generic,projector deals,proiettore occasioni,Beamer schnäppchen
q7e82e4e88,Electronics,screen protector,generic,screen protector review,recensione protezione schermo,Displayschutzfolie test
qb0529aa01,Electronics,smartphone,generic,smartphone specs,specifiche smartphone,Smartphone technische daten
qb83c4a9dc,Electronics,tablet,generic,top tablet,top tablet,top Tablet
q4e9de332e,Electronics,tripod,generic,tripod online,treppiede online,Stativ online
q883abbd6e,Electronics,ultrabook,generic,compare ultrabook,confronta ultrabook,Ultrabook vergleich
q6110d24dc,Electronics,vinyl record player,generic,where to buy vinyl record player,dove comprare giradischi,wo Plattenspieler kaufen
q22ea696e4,Electronics,wireless charger,generic,wireless charger under 500,caricatore wireless sotto 500 euro,Kabelloses Ladegerät unter 500 euro
qbeff5750e,Electronics,wireless headphones,generic,compare wireless headphones,confronta cuffie wireless,Kabellose Kopfhörer vergleich
q834a33ac5,Home & Garden,air fryer,branded,Cosori Pro LE Air Fryer offers,Cosori Pro LE Air Fryer offerte,Cosori Pro LE Air Fryer angebote
q8153e5e39,Home & Garden,air fryer,branded,buy Instant Vortex Plus 6-in-1,acquista Instant Vortex Plus 6-in-1,Instant Vortex Plus 6-in-1 kaufen
qa93ce3d87,Home & Garden,air purifier,branded,Blueair Blue Pure 311i+ price,Blueair Blue Pure 311i+ prezzo,Blueair Blue Pure 311i+ preis
q03937de99,Home & Garden,air purifier,branded,Dyson Purifier Hot+Cool,Dyson Purifier Hot+Cool,Dyson Purifier Hot+Cool
q102cbb443,Home & Garden,blender,branded,Vitamix 5200,Vitamix 5200,Vitamix 5200
q390d96185,Home & Garden,capsule coffee machine,branded,Nespresso Vertuo Next review,Nespresso Vertuo Next recensione,Nespresso Vertuo Next test
q28dcfc685,Home & Garden,coffee machine,branded,Siemens EQ.9 Plus,Siemens EQ.9 Plus,Siemens EQ.9 Plus
qa2a7ab8a8,Home & Garden,coffee machine,branded,Jura E8 price,Jura E8 prezzo,Jura E8 preis
q752ce51c0,Home & Garden,electric razor,branded,buy Philips Series 9000 Prestige,acquista Philips Series 9000 Prestige,Philips Series 9000 Prestige kaufen
q8b1885082,Home & Garden,electric toothbrush,branded,Philips Sonicare DiamondClean,Philips Sonicare DiamondClean,Philips Sonicare DiamondClean
q11f10eda9,Home & Garden,espresso machine,branded,De'Longhi La Specialista review,De'Longhi La Specialista recensione,De'Longhi La Specialista test
qaed9a6fb4,Home & Garden,hair dryer,branded,Dyson Supersonic offers,Dyson Supersonic offerte,Dyson Supersonic angebote
qb237d45c7,Home & Garden,hair straightener,branded,ghd Platinum+ Styler price,ghd Platinum+ Styler prezzo,ghd Platinum+ Styler preis
q53d87c364,Home & Garden,office chair,branded,ErgoChair Pro+ review,ErgoChair Pro+ recensione,ErgoChair Pro+ test
q70f413b9d,Home & Garden,robot vacuum cleaner,branded,buy Dyson 360 Vis Nav,acquista Dyson 360 Vis Nav,Dyson 360 Vis Nav kaufen
q92f158ded,Home & Garden,robot vacuum cleaner,branded,iRobot Roomba j7+ price,iRobot Roomba j7+ prezzo,iRobot Roomba j7+ preis
q929bd84c3,Home & Garden,security camera,branded,Arlo Pro 5S price,Arlo Pro 5S prezzo,Arlo Pro 5S preis
qe4ec36851,Home & Garden,smart doorbell,branded,buy Ring Video Doorbell Pro 2,acquista Ring Video Doorbell Pro 2,Ring Video Doorbell Pro 2 kaufen
q6946a957d,Home & Garden,smart lighting,branded,buy LIFX Color 1000lm,acquista LIFX Color 1000lm,LIFX Color 1000lm kaufen
q12e290db4,Home & Garden,smart thermostat,branded,Hive Active Heating price,Hive Active Heating prezzo,Hive Active Heating preis
qdd5cd392a,Home & Garden,standing desk,branded,Jarvis Standing Desk,Jarvis Standing Desk,Jarvis Standing Desk
qe85d0a6c1,Home & Garden,vacuum cleaner,branded,buy Miele Complete C3 Brilliant,acquista Miele Complete C3 Brilliant,Miele Complete C3 Brilliant kaufen
qbfe3e803e,Home & Garden,vacuum cleaner,branded,Shark Vertex AZ2002 offers,Shark Vertex AZ2002 offerte,Shark Vertex AZ2002 angebote
qd3d19ff7e,Home & Garden,air fryer,generic,compare air fryer,confronta friggitrice ad aria,Heißluftfritteuse vergleich
q773386064,Home & Garden,air fryer,generic,air fryer offers,offerte friggitrice ad aria,Heißluftfritteuse angebote
qf8a2b6a1d,Home & Garden,air purifier,generic,best value air purifier,purificatore d'aria miglior rapporto qualità prezzo,bestes preis-leistungs Luftreiniger
qe683a7366,Home & Garden,air purifier,generic,where to buy air purifier,dove comprare purificatore d'aria,wo Luftreiniger kaufen
q75e1e4591,Home & Garden,blender,generic,cheap blender,frullatore economici,günstiger Mixer
qbb1c50480,Home & Garden,blender,generic,blender deals,frullatore occasioni,Mixer schnäppchen
qd440eb1b1,Home & Garden,capsule coffee machine,generic,capsule coffee machine under 100,macchina caffè capsule sotto 100 euro,Kapselkaffeemaschine unter 100 euro
q0341b117f,Home & Garden,capsule coffee machine,generic,compare capsule coffee machine,confronta macchina caffè capsule,Kapselkaffeemaschine vergleich
q782d1c6bb,Home & Garden,coffee machine,generic,cheap coffee machine,macchina del caffè economici,günstiger Kaffeemaschine
qe5218ea9d,Home & Garden,coffee machine,generic,coffee machine under 500,macchina del caffè sotto 500 euro,Kaffeemaschine unter 500 euro
q0cf413851,Home & Garden,electric razor,generic,electric razor amazon,rasoio elettrico amazon,Elektrorasierer amazon
q73d41ae42,Home & Garden,electric razor,generic,electric razor 2024,rasoio elettrico 2024,Elektrorasierer 2024
q88227bf08,Home & Garden,electric toothbrush,generic,electric toothbrush review,recensione spazzolino elettrico,Elektrische Zahnbürste test
qed7862ddd,Home & Garden,electric toothbrush,generic,best electric toothbrush,migliori spazzolino elettrico,bestes Elektrische Zahnbürste
qf411cf96a,Home & Garden,espresso machine,generic,espresso machine deals,macchina per espresso occasioni,Espressomaschine schnäppchen
qaf313af1b,Home & Garden,espresso machine,generic,top espresso machine,top macchina per espresso,top Espressomaschine
qbed8146ea,Home & Garden,food processor,generic,food processor under 500,robot da cucina sotto 500 euro,Küchenmaschine unter 500 euro
q8dd46c6ad,Home & Garden,food processor,generic,buy food processor,acquista robot da cucina,Küchenmaschine kaufen
qadcc5a57d,Home & Garden,hair dryer,generic,hair dryer price,prezzo asciugacapelli,Haartrockner preis
qe6c34e8b9,Home & Garden,hair dryer,generic,best value hair dryer,asciugacapelli miglior rapporto qualità prezzo,bestes preis-leistungs Haartrockner
q37fa09223,Home & Garden,hair straightener,generic,hair straightener under 500,piastra per capelli sotto 500 euro,Haarglätter unter 500 euro
q339db8361,Home & Garden,hair straightener,generic,best value hair straightener,piastra per capelli miglior rapporto qualità prezzo,bestes preis-leistungs Haarglätter
qe675613e3,Home & Garden,humidifier,generic,buy humidifier online,comprare umidificatore online,Luftbefeuchter online kaufen
q51e1cb331,Home & Garden,humidifier,generic,humidifier under 100,umidificatore sotto 100 euro,Luftbefeuchter unter 100 euro
q845fc3b3a,Home & Garden,instant pot,generic,buy instant pot,acquista pentola a pressione,Schnellkochtopf kaufen
qd38cf564f,Home & Garden,instant pot,generic,instant pot review,recensione pentola a pressione,Schnellkochtopf test
qacdbdfadd,Home & Garden,monitor arm,generic,monitor arm review,recensione braccio per monitor,Monitorhalterung test
q65d9d316d,Home & Garden,monitor arm,generic,monitor arm amazon,braccio per monitor amazon,Monitorhalterung amazon
qa70be3171,Home & Garden,office chair,generic,office chair sale,sedia da ufficio saldi,Bürostuhl sale
q2507c4b44,Home & Garden,robot vacuum cleaner,generic,robot vacuum cleaner deals,aspirapolvere robot occasioni,Saugroboter schnäppchen
q9c5d3f0d2,Home & Garden,robot vacuum cleaner,generic,buy robot vacuum cleaner online,comprare aspirapolvere robot online,Saugroboter online kaufen
q497b9557b,Home & Garden,security camera,generic,cheap security camera,telecamera di sicurezza economici,günstiger Sicherheitskamera
q0d7a624a8,Home & Garden,security camera,generic,security camera specs,specifiche telecamera di sicurezza,Sicherheitskamera technische daten
qaa9507219,Home & Garden,smart doorbell,generic,smart doorbell price,prezzo videocitofono smart,Video-Türklingel preis
qd8d08ab87,Home & Garden,smart lighting,generic,smart lighting amazon,illuminazione smart amazon,Smarte Beleuchtung amazon
q5d3e1c73e,Home & Garden,smart lighting,generic,smart lighting,illuminazione smart,Smarte Beleuchtung
qcef71c3d1,Home & Garden,smart thermostat,generic,smart thermostat price,prezzo termostato intelligente,Smartes Thermostat preis
q92d691bea,Home & Garden,smart thermostat,generic,smart thermostat review,recensione termostato intelligente,Smartes Thermostat test
q47a55be52,Home & Garden,stand mixer,generic,stand mixer professional,impastatrice professionale,professioneller Küchenmaschine
q272892ed9,Home & Garden,standing desk,generic,standing desk under 500,scrivania regolabile sotto 500 euro,Höhenverstellbarer Schreibtisch unter 500 euro
qfa2c60f89,Home & Garden,standing desk,generic,cheap standing desk,scrivania regolabile economici,günstiger Höhenverstellbarer Schreibtisch
qa1e25f8eb,Home & Garden,vacuum cleaner,generic,vacuum cleaner 2024,aspirapolvere 2024,Staubsauger 2024
q20075b53d,Home & Garden,vacuum cleaner,generic,vacuum cleaner price,prezzo aspirapolvere,Staubsauger preis
qfc3c74f75,Sporting Goods,GPS running watch,branded,Suunto Race price,Suunto Race prezzo,Suunto Race preis
qdf9fb51cb,Sporting Goods,camping tent,branded,MSR Hubba Hubba NX 2 offers,MSR Hubba Hubba NX 2 offerte,MSR Hubba Hubba NX 2 angebote
q27a82a41e,Sporting Goods,cycling helmet,branded,POC Ventral Air Mips review,POC Ventral Air Mips recensione,POC Ventral Air Mips test
q95a46f438,Sporting Goods,e-bike,branded,Specialized Turbo Vado,Specialized Turbo Vado,Specialized Turbo Vado
qbc70c3784,Sporting Goods,e-bike,branded,Bosch eBike price,E-Bike Bosch prezzo,Bosch E-Bike preis
q95dc04db0,Sporting Goods,exercise bike,branded,Peloton Bike+ price,Peloton Bike+ prezzo,Peloton Bike+ preis
qcd2e69342,Sporting Goods,mountain bike,branded,Giant Trance X Advanced review,Giant Trance X Advanced recensione,Giant Trance X Advanced test
q0bf688f0f,Sporting Goods,protein powder,branded,ON Gold Standard Whey 2kg review,ON Gold Standard Whey 2kg recensione,ON Gold Standard Whey 2kg test
qce17f8808,Sporting Goods,road bike,branded,buy Trek Domane SL 6,acquista Trek Domane SL 6,Trek Domane SL 6 kaufen
q0707118f5,Sporting Goods,road bike,branded,buy Specialized Allez,acquista Specialized Allez,Specialized Allez kaufen
qfca0b5ac9,Sporting Goods,ski boots,branded,buy Atomic Hawx Prime 130,acquista Atomic Hawx Prime 130,Atomic Hawx Prime 130 kaufen
q9096f761d,Sporting Goods,ski helmet,branded,Smith Vantage MIPS review,Smith Vantage MIPS recensione,Smith Vantage MIPS test
q34a63e072,Sporting Goods,sleeping bag,branded,Western Mountaineering Alpinlite price,Western Mountaineering Alpinlite prezzo,Western Mountaineering Alpinlite preis
qe1f4f676f,Sporting Goods,tennis racket,branded,buy Wilson Pro Staff RF97,acquista Wilson Pro Staff RF97,Wilson Pro Staff RF97 kaufen
qda0abd177,Sporting Goods,treadmill,branded,buy NordicTrack Commercial 1750,acquista NordicTrack Commercial 1750,NordicTrack Commercial 1750 kaufen
q33939979a,Sporting Goods,yoga mat,branded,Manduka PRO Yoga Mat,Manduka PRO Yoga Mat,Manduka PRO Yoga Mat
q5c13d02d6,Sporting Goods,GPS running watch,generic,buy GPS running watch,acquista orologio GPS corsa,GPS-Laufuhr kaufen
qa8f06fd69,Sporting Goods,GPS running watch,generic,GPS running watch professional,orologio GPS corsa professionale,professioneller GPS-Laufuhr
qdad9228e4,Sporting Goods,badminton racket,generic,cheap badminton racket,racchetta da badminton economici,günstiger Badmintonschläger
q9d9e99971,Sporting Goods,badminton racket,generic,badminton racket deals,racchetta da badminton occasioni,Badmintonschläger schnäppchen
qe50915aa8,Sporting Goods,basketball,generic,best value basketball,pallone da basket miglior rapporto qualità prezzo,bestes preis-leistungs Basketball
q40b3242ca,Sporting Goods,basketball,generic,basketball 2024,pallone da basket 2024,Basketball 2024
qbde88ba16,Sporting Goods,camping tent,generic,camping tent 2024,tenda da campeggio 2024,Campingzelt 2024
q108a9baa2,Sporting Goods,camping tent,generic,camping tent,tenda da campeggio,Campingzelt
qba2b4b55d,Sporting Goods,climbing harness,generic,climbing harness under 500,imbrago da arrampicata sotto 500 euro,Klettergurt unter 500 euro
qadee4989b,Sporting Goods,climbing harness,generic,climbing harness review,recensione imbrago da arrampicata,Klettergurt test
qbcd385e35,Sporting Goods,cycling helmet,generic,cycling helmet offers,offerte casco da bici,Fahrradhelm angebote
qbeb102bd7,Sporting Goods,cycling helmet,generic,buy cycling helmet online,comprare casco da bici online,Fahrradhelm online kaufen
q51c5c0c7b,Sporting Goods,dumbbell set,generic,best dumbbell set,migliori set manubri,bestes Hantelset
q9ffe5c33b,Sporting Goods,dumbbell set,generic,dumbbell set price,prezzo set manubri,Hantelset preis
qced937b2a,Sporting Goods,e-bike,generic,e-bike offers,offerte bici elettrica,E-Bike angebote
q8003d8f34,Sporting Goods,e-bike,generic,e-bike sale,bici elettrica saldi,E-Bike sale
q6ea42b12a,Sporting Goods,energy gel,generic,compare energy gel,confronta gel energetico,Energiegel vergleich
q49f112628,Sporting Goods,energy gel,generic,energy gel,gel energetico,Energiegel
qcca0be8ea,Sporting Goods,exercise bike,generic,top exercise bike,top cyclette,top Heimtrainer
qa0be4e5d3,Sporting Goods,foam roller,generic,foam roller amazon,foam roller amazon,Schaumstoffrolle amazon
qc6cdc1cea,Sporting Goods,football,generic,football under 500,pallone da calcio sotto 500 euro,Fußball unter 500 euro
q761763853,Sporting Goods,football,generic,football rating,valutazione pallone da calcio,Fußball bewertung
q2de2f2541,Sporting Goods,heart rate monitor,generic,heart rate monitor review,recensione cardiofrequenzimetro,Herzfrequenzmesser test
q864c5e234,Sporting Goods,heart rate monitor,generic,heart rate monitor professional,cardiofrequenzimetro professionale,professioneller Herzfrequenzmesser
q52ea586ec,Sporting Goods,kettlebell,generic,kettlebell review,recensione kettlebell,Kettlebell test
qb2b483a03,Sporting Goods,kettlebell,generic,buy kettlebell,acquista kettlebell,Kettlebell kaufen
q848efdc1b,Sporting Goods,mountain bike,generic,mountain bike deals,mountain bike occasioni,Mountainbike schnäppchen
q421cbc630,Sporting Goods,mountain bike,generic,top mountain bike,top mountain bike,top Mountainbike
q4e7d79c55,Sporting Goods,protein powder,generic,protein powder specs,specifiche proteine in polvere,Proteinpulver technische daten
q8536dc65e,Sporting Goods,protein powder,generic,top protein powder,top proteine in polvere,top Proteinpulver
q1f19a2fe4,Sporting Goods,pull-up bar,generic,pull-up bar for beginners,sbarra per trazioni per principianti,Klimmzugstange für anfänger
q21d90fa2e,Sporting Goods,pull-up bar,generic,best pull-up bar,migliori sbarra per trazioni,bestes Klimmzugstange
q489b0b05a,Sporting Goods,resistance bands,generic,buy resistance bands,acquista elastici fitness,Fitnessbänder kaufen
q2cdd0e036,Sporting Goods,resistance bands,generic,buy resistance bands online,comprare elastici fitness online,Fitnessbänder online kaufen
qa29ab89d8,Sporting Goods,road bike,generic,compare road bike,confronta bici da strada,Rennrad vergleich
q45240fb6a,Sporting Goods,road bike,generic,road bike professional,bici da strada professionale,professioneller Rennrad
qfee82b465,Sporting Goods,ski boots,generic,ski boots amazon,scarponi da sci amazon,Skischuhe amazon
qc11ea6d2b,Sporting Goods,ski boots,generic,ski boots sale,scarponi da sci saldi,Skischuhe sale
qe89ba9926,Sporting Goods,ski helmet,generic,ski helmet professional,casco da sci professionale,professioneller Skihelm
q39766f4ea,Sporting Goods,sleeping bag,generic,best sleeping bag,migliori sacco a pelo,bestes Schlafsack
q55ab4d6aa,Sporting Goods,sports nutrition,generic,sports nutrition amazon,nutrizione sportiva amazon,Sportnahrung amazon
q5473fe386,Sporting Goods,sports nutrition,generic,sports nutrition 2024,nutrizione sportiva 2024,Sportnahrung 2024
qcf0871f3a,Sporting Goods,stand up paddle,generic,stand up paddle deals,stand up paddle occasioni,Stand-Up-Paddle schnäppchen
q71a94792b,Sporting Goods,stand up paddle,generic,top stand up paddle,top stand up paddle,top Stand-Up-Paddle
q0f40d1760,Sporting Goods,surf board,generic,surf board sale,tavola da surf saldi,Surfbrett sale
qb4f3b93ec,Sporting Goods,swimming goggles,generic,swimming goggles price,prezzo occhialini da nuoto,Schwimmbrille preis
q2edbc4bc0,Sporting Goods,tennis racket,generic,buy tennis racket,acquista racchetta da tennis,Tennisschläger kaufen
q8bbc1d527,Sporting Goods,treadmill,generic,treadmill offers,offerte tapis roulant,Laufband angebote
qaeb3832e9,Sporting Goods,trekking poles,generic,top trekking poles,top bastoni da trekking,top Wanderstöcke
q1ce9ada4a,Sporting Goods,yoga mat,generic,yoga mat for beginners,tappetino yoga per principianti,Yogamatte für anfänger
