query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
q64a728082,Electronics,smartphone,branded,Google Pixel 9 Pro price,Google Pixel 9 Pro prezzo,Google Pixel 9 Pro preis
q2ace9e681,Home & Garden,security camera,generic,where to buy security camera,dove comprare telecamera di sicurezza,wo Sicherheitskamera kaufen
qe49188740,Sporting Goods,tennis racket,generic,tennis racket price,prezzo racchetta da tennis,Tennisschläger preis
q2cc9598be,Apparel & Accessories,hiking boots,branded,Merrell Moab 3,Merrell Moab 3,Merrell Moab 3
q4c74db701,Home & Garden,robot vacuum cleaner,generic,robot vacuum cleaner review,recensione aspirapolvere robot,Saugroboter test
q887a28c4e,Home & Garden,blender,branded,Vitamix 5200 offers,Vitamix 5200 offerte,Vitamix 5200 angebote
qd30d52885,Electronics,phone case,branded,Spigen Tough Armor iPhone 15,Spigen Tough Armor iPhone 15,Spigen Tough Armor iPhone 15
q9e867397a,Electronics,phone case,generic,top phone case,top custodia per telefono,top Handyhülle
q5391181dc,Electronics,soundbar,generic,soundbar amazon,soundbar amazon,Soundbar amazon
qb52bbb350,Apparel & Accessories,rain jacket,generic,rain jacket offers,offerte giacca impermeabile,Regenjacke angebote
qfdc69ab81,Apparel & Accessories,polo shirt,generic,where to buy polo shirt,dove comprare polo,wo Poloshirt kaufen
qf047cb429,Home & Garden,capsule coffee machine,generic,buy capsule coffee machine online,comprare macchina caffè capsule online,Kapselkaffeemaschine online kaufen
qd6a875bc1,Apparel & Accessories,compression socks,generic,compression socks online,calze a compressione online,Kompressionssocken online
qafbd509cb,Electronics,monitor,generic,monitor,monitor,Monitor
q7ec9b2a82,Electronics,SSD,generic,SSD professional,SSD professionale,professioneller SSD
q0c9641f19,Home & Garden,blender,branded,Nutribullet Pro 900 review,Nutribullet Pro 900 recensione,Nutribullet Pro 900 test
qeb0d92b7a,Electronics,gaming desk,generic,gaming desk specs,specifiche scrivania gaming,Gaming-Schreibtisch technische daten
q870d92746,Sporting Goods,mountain bike,branded,Giant Trance X Advanced offers,Giant Trance X Advanced offerte,Giant Trance X Advanced angebote
qe297fea85,Electronics,gaming chair,generic,gaming chair professional,sedia gaming professionale,professioneller Gaming-Stuhl
q3124b4077,Apparel & Accessories,winter jacket,generic,winter jacket for beginners,giacca invernale per principianti,Winterjacke für anfänger
q9df9f7274,Beauty & Personal Care,mascara,generic,best mascara,migliori mascara,bestes Mascara
q7458cf3bd,Electronics,VR headset,generic,best VR headset,migliori visore VR,bestes VR-Headset
q79825869f,Home & Garden,coffee machine,branded,buy Siemens EQ.9 Plus,acquista Siemens EQ.9 Plus,Siemens EQ.9 Plus kaufen
q27dfc7d01,Electronics,budget smartphone,generic,budget smartphone review,recensione smartphone economico,Günstiges Smartphone test
qf6b6e83db,Electronics,home cinema system,generic,buy home cinema system,acquista sistema home cinema,Heimkinosystem kaufen
qe03d39683,Apparel & Accessories,sport leggings,generic,sport leggings specs,specifiche leggings sportivi,Sport-Leggings technische daten
q8f810eb4f,Apparel & Accessories,sneakers,branded,Vans Old Skool price,Vans Old Skool prezzo,Vans Old Skool preis
qd8a657e75,Electronics,Android tablet,generic,Android tablet rating,valutazione tablet Android,Android-Tablet bewertung
qf90b0a556,Apparel & Accessories,running shoes,branded,Adidas Ultraboost 22 offers,Adidas Ultraboost 22 offerte,Adidas Ultraboost 22 angebote
qce55228cd,Electronics,gaming controller,branded,Xbox Elite Series 2 price,Xbox Elite Series 2 prezzo,Xbox Elite Series 2 preis
qb2401be68,Sporting Goods,pull-up bar,generic,buy pull-up bar,acquista sbarra per trazioni,Klimmzugstange kaufen
q418566ce2,Apparel & Accessories,hiking boots,generic,buy hiking boots online,comprare scarpe da trekking online,Wanderstiefel online kaufen
qa44ec72c2,Sporting Goods,yoga mat,generic,best value yoga mat,tappetino yoga miglior rapporto qualità prezzo,bestes preis-leistungs Yogamatte
qe62cc645c,Baby & Kids,baby carrier,generic,baby carrier review,recensione marsupio neonato,Babytrage test
qc6b192d2a,Beauty & Personal Care,sunscreen SPF 50,generic,where to buy sunscreen SPF 50,dove comprare crema solare SPF 50,wo Sonnencreme SPF 50 kaufen
qd515bfa9d,Home & Garden,vacuum cleaner,generic,vacuum cleaner review,recensione aspirapolvere,Staubsauger test
qccd4f95e0,Apparel & Accessories,sandals,generic,sandals under 100,sandali sotto 100 euro,Sandalen unter 100 euro
q16c0fef2b,Electronics,DSLR camera,generic,DSLR camera offers,offerte reflex digitale,Spiegelreflexkamera angebote
q5f4cfc377,Electronics,drone with camera,generic,drone with camera specs,specifiche drone con fotocamera,Drohne mit Kamera technische daten
qbd97fdb3b,Baby & Kids,baby carrier,generic,baby carrier under 100,marsupio neonato sotto 100 euro,Babytrage unter 100 euro
qb13bd88ba,Sporting Goods,stand up paddle,generic,stand up paddle professional,stand up paddle professionale,professioneller Stand-Up-Paddle
q37735f71d,Apparel & Accessories,hiking boots,generic,hiking boots professional,scarpe da trekking professionale,professioneller Wanderstiefel
qf9408be23,Electronics,smartphone,branded,buy iPhone 15,acquista iPhone 15,iPhone 15 kaufen
q882832f38,Home & Garden,smart thermostat,branded,Hive Active Heating offers,Hive Active Heating offerte,Hive Active Heating angebote
q8a0edfea3,Home & Garden,stand mixer,generic,stand mixer under 500,impastatrice sotto 500 euro,Küchenmaschine unter 500 euro
q7b9ba0a43,Electronics,in-ear headphones,generic,in-ear headphones deals,auricolari in-ear occasioni,In-Ear-Kopfhörer schnäppchen
qfc65390c3,Home & Garden,blender,branded,Vitamix 5200 review,Vitamix 5200 recensione,Vitamix 5200 test
q550f7b379,Electronics,external hard drive,generic,external hard drive,hard disk esterno,Externe Festplatte
q76ff1dc7f,Baby & Kids,LEGO,generic,LEGO for beginners,LEGO per principianti,LEGO für anfänger
q510bb0364,Home & Garden,monitor arm,generic,monitor arm professional,braccio per monitor professionale,professioneller Monitorhalterung
q069da20f7,Electronics,wireless charger,generic,wireless charger 2024,caricatore wireless 2024,Kabelloses Ladegerät 2024
qc02feea29,Apparel & Accessories,boots,generic,boots offers,offerte stivali,Stiefel angebote
q28d207ca5,Sporting Goods,ski helmet,branded,buy Atomic Backland UL,acquista Atomic Backland UL,Atomic Backland UL kaufen
q4842d4692,Electronics,gaming console,branded,Nintendo Switch 2 price,Nintendo Switch 2 prezzo,Nintendo Switch 2 preis
q27ea3580d,Electronics,4K television,generic,compare 4K television,confronta televisore 4K,4K-Fernseher vergleich
qceea9abb3,Baby & Kids,LEGO,generic,LEGO sale,LEGO saldi,LEGO sale
qa466ddaa8,Apparel & Accessories,hiking boots,branded,buy Merrell Moab 3,acquista Merrell Moab 3,Merrell Moab 3 kaufen
qccfea8a45,Home & Garden,food processor,generic,food processor rating,valutazione robot da cucina,Küchenmaschine bewertung
qc5a1d0d3f,Electronics,digital camera,branded,Fujifilm X-T5 price,Fujifilm X-T5 prezzo,Fujifilm X-T5 preis
qf63f36f05,Electronics,gaming mouse,branded,Logitech G Pro X Superlight 2,Logitech G Pro X Superlight 2,Logitech G Pro X Superlight 2
qf35d19608,Home & Garden,hair straightener,generic,hair straightener under 100,piastra per capelli sotto 100 euro,Haarglätter unter 100 euro
qd9d36875e,Sporting Goods,protein powder,generic,buy protein powder,acquista proteine in polvere,Proteinpulver kaufen
q2afe7b634,Apparel & Accessories,sport shorts,generic,sport shorts sale,pantaloncini sportivi saldi,Sporthose sale
q767c09b9e,Sporting Goods,mountain bike,generic,mountain bike sale,mountain bike saldi,Mountainbike sale
q3f41a0400,Home & Garden,coffee machine,branded,De'Longhi Magnifica Evo review,De'Longhi Magnifica Evo recensione,De'Longhi Magnifica Evo test
qdc7f4498f,Apparel & Accessories,winter jacket,branded,Arc'teryx Beta AR Jacket review,Arc'teryx Beta AR Jacket recensione,Arc'teryx Beta AR Jacket test
q609a212ad,Sporting Goods,badminton racket,generic,badminton racket review,recensione racchetta da badminton,Badmintonschläger test
qe1e8a5c35,Electronics,gaming monitor,branded,LG UltraGear 27GP850 offers,LG UltraGear 27GP850 offerte,LG UltraGear 27GP850 angebote
q344ffd654,Electronics,drone with camera,branded,buy DJI Mavic 3 Pro,acquista DJI Mavic 3 Pro,DJI Mavic 3 Pro kaufen
q23c102b6f,Home & Garden,instant pot,generic,cheap instant pot,pentola a pressione economici,günstiger Schnellkochtopf
q14234c657,Electronics,earbuds,branded,buy Google Pixel Buds Pro,acquista Google Pixel Buds Pro,Google Pixel Buds Pro kaufen
q43d31953f,Electronics,smartphone,branded,Nothing Phone 2a offers,Nothing Phone 2a offerte,Nothing Phone 2a angebote
qd9d3b031b,Electronics,USB-C cable,generic,where to buy USB-C cable,dove comprare cavo USB-C,wo USB-C-Kabel kaufen
q5f2123a0d,Electronics,gaming console,generic,top gaming console,top console di gioco,top Spielkonsole
qa1495cde2,Electronics,OLED television,branded,buy LG G3 OLED,acquista LG G3 OLED,LG G3 OLED kaufen
qac7abc00d,Sporting Goods,stand up paddle,generic,stand up paddle under 100,stand up paddle sotto 100 euro,Stand-Up-Paddle unter 100 euro
qdf9b5411c,Electronics,smartphone,branded,OnePlus 12,OnePlus 12,OnePlus 12
qfcdb4edd0,Baby & Kids,children bicycle,branded,woom 4,woom 4,woom 4
q03e8e33fc,Sporting Goods,badminton racket,generic,where to buy badminton racket,dove comprare racchetta da badminton,wo Badmintonschläger kaufen
q0e3110235,Apparel & Accessories,hiking boots,generic,hiking boots under 500,scarpe da trekking sotto 500 euro,Wanderstiefel unter 500 euro
q4f62fe47a,Sporting Goods,sports nutrition,generic,buy sports nutrition,acquista nutrizione sportiva,Sportnahrung kaufen
q14da30eed,Apparel & Accessories,running shoes,branded,Adidas Supernova Rise,Adidas Supernova Rise,Adidas Supernova Rise
qf332aee44,Electronics,smartphone,generic,smartphone deals,smartphone occasioni,Smartphone schnäppchen
qbac270606,Electronics,digital camera,branded,Canon PowerShot G7X Mark III price,Canon PowerShot G7X Mark III prezzo,Canon PowerShot G7X Mark III preis
q977fb8550,Apparel & Accessories,smartwatch,branded,Garmin Epix Gen 2 review,Garmin Epix Gen 2 recensione,Garmin Epix Gen 2 test
q2547849d3,Electronics,soundbar,branded,Samsung HW-Q990C offers,Samsung HW-Q990C offerte,Samsung HW-Q990C angebote
q27e783a70,Apparel & Accessories,athletic shoes,generic,top athletic shoes,top scarpe sportive,top Sportschuhe
q7b6fa0bb4,Electronics,laptop,branded,MacBook Pro M3,MacBook Pro M3,MacBook Pro M3
q56b3661b4,Sporting Goods,heart rate monitor,generic,cheap heart rate monitor,cardiofrequenzimetro economici,günstiger Herzfrequenzmesser
q0a53ce4dc,Electronics,QLED television,generic,cheap QLED television,televisore QLED economici,günstiger QLED-Fernseher
q8ac40dedd,Electronics,flagship smartphone,generic,flagship smartphone online,smartphone top di gamma online,Flagship-Smartphone online
q7cba4c211,Sporting Goods,road bike,branded,Specialized Allez offers,Specialized Allez offerte,Specialized Allez angebote
q9b3073c95,Electronics,streaming device,branded,buy Apple TV 4K,acquista Apple TV 4K,Apple TV 4K kaufen
q1f5db1afa,Electronics,monitor,generic,buy monitor online,comprare monitor online,Monitor online kaufen
q3a5162c85,Electronics,external hard drive,generic,compare external hard drive,confronta hard disk esterno,Externe Festplatte vergleich
q18d4566d5,Electronics,noise cancelling headphones,branded,Bose QuietComfort 45 price,Bose QuietComfort 45 prezzo,Bose QuietComfort 45 preis
qa8887a9d9,Home & Garden,humidifier,generic,humidifier professional,umidificatore professionale,professioneller Luftbefeuchter
q63b743765,Beauty & Personal Care,face moisturiser,generic,compare face moisturiser,confronta crema idratante viso,Gesichtscreme vergleich
qdfd5731fe,Apparel & Accessories,smartwatch,branded,buy Apple Watch Series 9,acquista Apple Watch Serie 9,Apple Watch Series 9 kaufen
q2fa392713,Electronics,wireless headphones,branded,buy Marshall Major V,acquista Marshall Major V,Marshall Major V kaufen
qd6218281d,Apparel & Accessories,loafers,generic,loafers,mocassini,Loafer
qcec36f5f6,Beauty & Personal Care,mascara,generic,buy mascara,acquista mascara,Mascara kaufen
q4abb58dec,Electronics,home cinema system,generic,compare home cinema system,confronta sistema home cinema,Heimkinosystem vergleich
qa70d592f3,Home & Garden,espresso machine,generic,buy espresso machine,acquista macchina per espresso,Espressomaschine kaufen
q65d461a5d,Baby & Kids,children bicycle,generic,where to buy children bicycle,dove comprare bicicletta bambini,wo Kinderfahrrad kaufen
q0a733ae7b,Baby & Kids,car seat,generic,car seat sale,seggiolino auto saldi,Kindersitz sale
q3b3c512d2,Home & Garden,capsule coffee machine,generic,capsule coffee machine,macchina caffè capsule,Kapselkaffeemaschine
qd8af25780,Home & Garden,hair straightener,generic,hair straightener price,prezzo piastra per capelli,Haarglätter preis
q52bf583e4,Home & Garden,hair straightener,generic,hair straightener,piastra per capelli,Haarglätter
qb8fe0ac02,Home & Garden,blender,generic,blender for beginners,frullatore per principianti,Mixer für anfänger
q19ceefdb4,Apparel & Accessories,running jacket,generic,best value running jacket,giacca da corsa miglior rapporto qualità prezzo,bestes preis-leistungs Laufjacke
q4ca73d940,Electronics,gaming console,generic,gaming console price,prezzo console di gioco,Spielkonsole preis
q0ab25d86b,Sporting Goods,yoga mat,generic,yoga mat specs,specifiche tappetino yoga,Yogamatte technische daten
q33aedd40e,Electronics,earbuds,branded,OnePlus Buds 3 price,OnePlus Buds 3 prezzo,OnePlus Buds 3 preis
qf6503c89c,Electronics,projector,generic,projector 2024,proiettore 2024,Beamer 2024
qeba1896ce,Home & Garden,hair dryer,generic,hair dryer,asciugacapelli,Haartrockner
q8eddfdd85,Electronics,2-in-1 laptop,generic,best value 2-in-1 laptop,laptop 2-in-1 miglior rapporto qualità prezzo,bestes preis-leistungs 2-in-1-Laptop
qf42b77973,Apparel & Accessories,down jacket,generic,down jacket specs,specifiche piumino,Daunenjacke technische daten
q508a36989,Electronics,smartphone,generic,where to buy smartphone,dove comprare smartphone,wo Smartphone kaufen
qcb28b0d0f,Sporting Goods,camping tent,generic,where to buy camping tent,dove comprare tenda da campeggio,wo Campingzelt kaufen
qd99477a8d,Apparel & Accessories,running shoes,branded,buy Mizuno Wave Inspire 20,acquista Mizuno Wave Inspire 20,Mizuno Wave Inspire 20 kaufen
qfdd4fb29e,Beauty & Personal Care,lip balm,generic,buy lip balm,acquista balsamo labbra,Lippenbalsam kaufen
q3022d692f,Home & Garden,instant pot,generic,instant pot under 500,pentola a pressione sotto 500 euro,Schnellkochtopf unter 500 euro
q597ced592,Sporting Goods,energy gel,generic,energy gel 2024,gel energetico 2024,Energiegel 2024
q4d96eb734,Sporting Goods,yoga mat,generic,yoga mat 2024,tappetino yoga 2024,Yogamatte 2024
qa99a691ba,Apparel & Accessories,backpack,generic,backpack specs,specifiche zaino,Rucksack technische daten
qe90d65ebc,Apparel & Accessories,sports bra,generic,top sports bra,top reggiseno sportivo,top Sport-BH
qdc674955e,Home & Garden,robot vacuum cleaner,generic,buy robot vacuum cleaner,acquista aspirapolvere robot,Saugroboter kaufen
qcfab9f8d5,Apparel & Accessories,basketball shoes,generic,basketball shoes under 500,scarpe da basket sotto 500 euro,Basketballschuhe unter 500 euro
qa0b184531,Apparel & Accessories,running shoes,branded,buy Salomon Ultra Glide 2,acquista Salomon Ultra Glide 2,Salomon Ultra Glide 2 kaufen
qd3d0d0501,Apparel & Accessories,running jacket,generic,running jacket sale,giacca da corsa saldi,Laufjacke sale
qfacc8bb3a,Baby & Kids,children bicycle,generic,children bicycle professional,bicicletta bambini professionale,professioneller Kinderfahrrad
q9d4255ea6,Sporting Goods,kettlebell,generic,kettlebell amazon,kettlebell amazon,Kettlebell amazon
q2da1e2d47,Apparel & Accessories,winter jacket,generic,winter jacket amazon,giacca invernale amazon,Winterjacke amazon
q875a78946,Electronics,tripod,generic,tripod professional,treppiede professionale,professioneller Stativ
q44fafa298,Apparel & Accessories,polo shirt,generic,buy polo shirt,acquista polo,Poloshirt kaufen
q61222d1d4,Apparel & Accessories,winter jacket,branded,The North Face Nuptse offers,The North Face Nuptse offerte,The North Face Nuptse angebote
q1adfd17d2,Apparel & Accessories,down jacket,generic,down jacket professional,piumino professionale,professioneller Daunenjacke
qe02b668c7,Electronics,earbuds,branded,Sony WF-1000XM5 price,Sony WF-1000XM5 prezzo,Sony WF-1000XM5 preis
qdef6e412d,Sporting Goods,protein powder,generic,buy protein powder online,comprare proteine in polvere online,Proteinpulver online kaufen
q76c3751c4,Apparel & Accessories,cycling shoes,generic,buy cycling shoes,acquista scarpe da ciclismo,Radschuhe kaufen
q0c49aeee1,Apparel & Accessories,hiking boots,generic,hiking boots,scarpe da trekking,Wanderstiefel
q802ad0921,Home & Garden,espresso machine,branded,Breville Barista Express,Breville Barista Express,Breville Barista Express
q20adb1777,Electronics,camera lens,generic,camera lens professional,obiettivo fotografico professionale,professioneller Kameraobjektiv
q6968cec2b,Electronics,home cinema system,generic,home cinema system under 500,sistema home cinema sotto 500 euro,Heimkinosystem unter 500 euro
q39780ad76,Beauty & Personal Care,vitamin C serum,branded,Paula's Choice C15 Super Booster review,Paula's Choice C15 Super Booster recensione,Paula's Choice C15 Super Booster test
q1779e8ad5,Electronics,home cinema system,generic,home cinema system amazon,sistema home cinema amazon,Heimkinosystem amazon
qafa76ad05,Electronics,memory card,generic,memory card under 500,scheda di memoria sotto 500 euro,Speicherkarte unter 500 euro
q24f296841,Electronics,gaming chair,generic,best value gaming chair,sedia gaming miglior rapporto qualità prezzo,bestes preis-leistungs Gaming-Stuhl
qcd980948b,Electronics,smartphone,branded,OnePlus 12 review,OnePlus 12 recensione,OnePlus 12 test
q7d0bacc9a,Apparel & Accessories,sandals,generic,cheap sandals,sandali economici,günstiger Sandalen
q84cebe7f6,Electronics,tripod,generic,top tripod,top treppiede,top Stativ
qafb5aeddb,Electronics,wireless headphones,branded,Beats Studio Pro offers,Beats Studio Pro offerte,Beats Studio Pro angebote
q6e03e05f0,Electronics,4K television,generic,4K television online,televisore 4K online,4K-Fernseher online
q3cdd91496,Sporting Goods,pull-up bar,generic,pull-up bar professional,sbarra per trazioni professionale,professioneller Klimmzugstange
q2d3593a45,Apparel & Accessories,sneakers,branded,Nike Dunk Low price,Nike Dunk Low prezzo,Nike Dunk Low preis
q10a727cd2,Electronics,phone case,generic,phone case online,custodia per telefono online,Handyhülle online
qbf2887d78,Electronics,external hard drive,branded,Seagate Backup Plus 4TB,Seagate Backup Plus 4TB,Seagate Backup Plus 4TB
qc47d4809e,Apparel & Accessories,fitness tracker,branded,Polar Pacer Pro,Polar Pacer Pro,Polar Pacer Pro
q6b337f9d4,Home & Garden,blender,generic,blender under 100,frullatore sotto 100 euro,Mixer unter 100 euro
q17efcfc9e,Home & Garden,smart thermostat,generic,smart thermostat rating,valutazione termostato intelligente,Smartes Thermostat bewertung
qef7e939c8,Electronics,camera bag,generic,best value camera bag,borsa per fotocamera miglior rapporto qualità prezzo,bestes preis-leistungs Kameratasche
qc7e8c87c2,Home & Garden,food processor,generic,food processor offers,offerte robot da cucina,Küchenmaschine angebote
qf888d814b,Sporting Goods,dumbbell set,branded,buy Bowflex SelectTech 552,acquista Bowflex SelectTech 552,Bowflex SelectTech 552 kaufen
qd4ebb258f,Electronics,action camera,generic,action camera under 100,action camera sotto 100 euro,Action-Kamera unter 100 euro
qbe428d9e4,Sporting Goods,sports nutrition,generic,buy sports nutrition online,comprare nutrizione sportiva online,Sportnahrung online kaufen
qce8c8b834,Electronics,digital camera,branded,Canon EOS 70D offers,Canon EOS 70D offerte,Canon EOS 70D angebote
q8d90a9080,Electronics,external hard drive,generic,external hard drive amazon,hard disk esterno amazon,Externe Festplatte amazon
qb6bca41ae,Electronics,wireless charger,generic,wireless charger specs,specifiche caricatore wireless,Kabelloses Ladegerät technische daten
q37ec8f0e6,Electronics,gaming controller,generic,gaming controller amazon,controller gaming amazon,Gaming-Controller amazon
qda8cbd89b,Electronics,smartphone,branded,Xiaomi 14 Ultra,Xiaomi 14 Ultra,Xiaomi 14 Ultra
q481e30a0f,Sporting Goods,football,generic,football online,pallone da calcio online,Fußball online
qaaebf3080,Baby & Kids,children bicycle,branded,woom 4 review,woom 4 recensione,woom 4 test
qc7f7bf307,Beauty & Personal Care,perfume,generic,perfume specs,specifiche profumo,Parfüm technische daten
q5170e5f27,Electronics,noise cancelling headphones,generic,noise cancelling headphones price,prezzo cuffie noise cancelling,Noise-Cancelling-Kopfhörer preis
q9cf5ace3a,Sporting Goods,mountain bike,generic,mountain bike offers,offerte mountain bike,Mountainbike angebote
qb256d41c4,Apparel & Accessories,athletic shoes,generic,athletic shoes review,recensione scarpe sportive,Sportschuhe test
qbe8399db5,Electronics,2-in-1 laptop,generic,top 2-in-1 laptop,top laptop 2-in-1,top 2-in-1-Laptop
qc949a3f8b,Electronics,camera bag,generic,camera bag specs,specifiche borsa per fotocamera,Kameratasche technische daten
q8e09b3dff,Electronics,gaming desk,generic,best gaming desk,migliori scrivania gaming,bestes Gaming-Schreibtisch
q155fb741d,Electronics,gaming console,generic,best value gaming console,console di gioco miglior rapporto qualità prezzo,bestes preis-leistungs Spielkonsole
q42a6b5964,Apparel & Accessories,running shoes,branded,On Cloudmonster price,On Cloudmonster prezzo,On Cloudmonster preis
q095a588cb,Home & Garden,air fryer,generic,air fryer professional,friggitrice ad aria professionale,professioneller Heißluftfritteuse
qc7f717700,Sporting Goods,e-bike,branded,Specialized Turbo Vado offers,Specialized Turbo Vado offerte,Specialized Turbo Vado angebote
q7a1f60222,Apparel & Accessories,fitness tracker,generic,fitness tracker rating,valutazione fitness tracker,Fitness-Tracker bewertung
q98857a3d9,Sporting Goods,swimming goggles,generic,swimming goggles specs,specifiche occhialini da nuoto,Schwimmbrille technische daten
q8728f86d5,Beauty & Personal Care,nail polish,generic,nail polish deals,smalto per unghie occasioni,Nagellack schnäppchen
qa84a07fc5,Electronics,camera lens,generic,camera lens sale,obiettivo fotografico saldi,Kameraobjektiv sale
qa8ec5e75b,Apparel & Accessories,sports bag,generic,buy sports bag,acquista borsa sportiva,Sporttasche kaufen
qce08f38dd,Electronics,2-in-1 laptop,generic,buy 2-in-1 laptop,acquista laptop 2-in-1,2-in-1-Laptop kaufen
qa4df6ef39,Apparel & Accessories,running shoes,branded,Saucony Endorphin Speed 4,Saucony Endorphin Speed 4,Saucony Endorphin Speed 4
qe9f66f8af,Baby & Kids,baby monitor,branded,buy Motorola Halo+,acquista Motorola Halo+,Motorola Halo+ kaufen
qe4f7e0129,Electronics,monitor,branded,buy Dell UltraSharp U2722D,acquista Dell UltraSharp U2722D,Dell UltraSharp U2722D kaufen
q8b41b1287,Apparel & Accessories,sandals,generic,sandals deals,sandali occasioni,Sandalen schnäppchen
q06e516bdb,Sporting Goods,treadmill,generic,treadmill sale,tapis roulant saldi,Laufband sale
q231f1a912,Electronics,OLED television,branded,LG G3 OLED,LG G3 OLED,LG G3 OLED
q1bedf16ba,Apparel & Accessories,sunglasses,generic,sunglasses professional,occhiali da sole professionale,professioneller Sonnenbrille
q9b355d618,Electronics,tripod,generic,tripod specs,specifiche treppiede,Stativ technische daten
q2229efd1a,Electronics,tripod,generic,tripod deals,treppiede occasioni,Stativ schnäppchen
qd7a4f9f28,Sporting Goods,road bike,branded,Bianchi Oltre RC,Bianchi Oltre RC,Bianchi Oltre RC
qa5ecb4c36,Electronics,gaming headset,generic,compare gaming headset,confronta headset gaming,Gaming-Headset vergleich
qb32abc3ca,Electronics,gaming mouse,generic,where to buy gaming mouse,dove comprare mouse gaming,wo Gaming-Maus kaufen
q68d632c77,Home & Garden,espresso machine,generic,espresso machine online,macchina per espresso online,Espressomaschine online
qe42fd140e,Home & Garden,instant pot,generic,instant pot online,pentola a pressione online,Schnellkochtopf online
qa4adf6a4a,Sporting Goods,dumbbell set,branded,Bowflex SelectTech 552 offers,Bowflex SelectTech 552 offerte,Bowflex SelectTech 552 angebote
qcc487216f,Home & Garden,electric toothbrush,branded,Oral-B iO Series 9 review,Oral-B iO Series 9 recensione,Oral-B iO Series 9 test
q1473c138b,Apparel & Accessories,tennis shoes,generic,tennis shoes price,prezzo scarpe da tennis,Tennisschuhe preis
q50f5b8e17,Sporting Goods,foam roller,generic,foam roller sale,foam roller saldi,Schaumstoffrolle sale
q251787488,Sporting Goods,pull-up bar,generic,pull-up bar price,prezzo sbarra per trazioni,Klimmzugstange preis
qfff433671,Apparel & Accessories,basketball shoes,generic,where to buy basketball shoes,dove comprare scarpe da basket,wo Basketballschuhe kaufen
qb19add251,Electronics,QLED television,generic,buy QLED television,acquista televisore QLED,QLED-Fernseher kaufen
q694faab78,Electronics,OLED television,generic,top OLED television,top televisore OLED,top OLED-Fernseher
q2116e2256,Electronics,digital camera,branded,Sony A7 IV offers,Sony A7 IV offerte,Sony A7 IV angebote
qda3e27e13,Baby & Kids,car seat,generic,cheap car seat,seggiolino auto economici,günstiger Kindersitz
q3f737efad,Sporting Goods,treadmill,generic,treadmill review,recensione tapis roulant,Laufband test
q9ff35a8dd,Electronics,SSD,generic,buy SSD online,comprare SSD online,SSD online kaufen
q61785eef2,Electronics,memory card,generic,memory card online,scheda di memoria online,Speicherkarte online
q88d15c5de,Electronics,gaming monitor,branded,ASUS ROG Swift PG279QM price,ASUS ROG Swift PG279QM prezzo,ASUS ROG Swift PG279QM preis
q6de842794,Electronics,Android tablet,generic,Android tablet offers,offerte tablet Android,Android-Tablet angebote
q35950038d,Electronics,gaming mouse,generic,gaming mouse professional,mouse gaming professionale,professioneller Gaming-Maus
q36a22060f,Sporting Goods,sports nutrition,generic,sports nutrition professional,nutrizione sportiva professionale,professioneller Sportnahrung
qac3d62df1,Home & Garden,air purifier,branded,Levoit Core 600S review,Levoit Core 600S recensione,Levoit Core 600S test
q7de70ecec,Electronics,smartphone,branded,Motorola Edge 50 Pro offers,Motorola Edge 50 Pro offerte,Motorola Edge 50 Pro angebote
qd48b57535,Sporting Goods,treadmill,branded,Peloton Tread,Peloton Tread,Peloton Tread
q86c4d4bcc,Home & Garden,hair straightener,branded,Dyson Corrale,Dyson Corrale,Dyson Corrale
q1f874a5d6,Electronics,mirrorless camera,generic,where to buy mirrorless camera,dove comprare fotocamera mirrorless,wo Systemkamera kaufen
q56a7aab84,Apparel & Accessories,fitness tracker,generic,buy fitness tracker online,comprare fitness tracker online,Fitness-Tracker online kaufen
qf6be1dea7,Sporting Goods,ski boots,generic,ski boots under 500,scarponi da sci sotto 500 euro,Skischuhe unter 500 euro
qa275846f1,Apparel & Accessories,backpack,branded,Deuter Futura Pro 40,Deuter Futura Pro 40,Deuter Futura Pro 40
q6c9373df4,Apparel & Accessories,hiking boots,branded,Salomon X Ultra 4 offers,Salomon X Ultra 4 offerte,Salomon X Ultra 4 angebote
q16ac536a2,Electronics,2-in-1 laptop,generic,2-in-1 laptop 2024,laptop 2-in-1 2024,2-in-1-Laptop 2024
q4b1c2bc91,Electronics,noise cancelling headphones,generic,buy noise cancelling headphones online,comprare cuffie noise cancelling online,Noise-Cancelling-Kopfhörer online kaufen
q1bd98e33d,Electronics,in-ear headphones,generic,in-ear headphones sale,auricolari in-ear saldi,In-Ear-Kopfhörer sale
qd7a19b9e3,Electronics,drone with camera,branded,buy DJI Mini 4 Pro,acquista DJI Mini 4 Pro,DJI Mini 4 Pro kaufen
q60b627010,Home & Garden,espresso machine,generic,best espresso machine,migliori macchina per espresso,bestes Espressomaschine
q53fd5fd84,Home & Garden,capsule coffee machine,generic,capsule coffee machine 2024,macchina caffè capsule 2024,Kapselkaffeemaschine 2024
q7385ef1dc,Apparel & Accessories,sports bag,generic,sports bag deals,borsa sportiva occasioni,Sporttasche schnäppchen
q26245e3b6,Electronics,laptop stand,generic,cheap laptop stand,supporto laptop economici,günstiger Laptop-Ständer
